Code,Product Name,Unit,NV ฿/unit,Lotus ฿/unit,Makro ฿/unit,Cheapest,Lotus % vs NV,Makro % vs NV
11124,สปอนเซอร์ขวด,หีบ,9.19,10.12,10.04,NV,+10.1%,+9.2%
11146,คาราบาวแดง150มล.,หีบ,7.99,8.7,8.6,NV,+8.9%,+7.6%
11234,เฮลซ์บลูบอย แดง,หีบ,57.02,65.83,52,Makro,+15.5%,-8.8%
11005,โฟร์โมสต์โอเมก้า180มล.จืด,หีบ,8.42,10.08,9.44,NV,+19.7%,+12.1%
25482,เอ็ม-150 ฝาเหลือง รุ่น10บ.,หีบ,7.76,10.6,8.6,Makro,+36.6%,10.8%
11193,เอ็ม-150ฝาทอง รุ่น12บ.,หีบ,9.55,—,—,NV,,
11113,กระทิงแดง 100มล.,หีบ,7.76,—,8.4,NV,,+8.2%
11346,โค้ก1.25ล.,แพ็ค,24.12,—,26.83,NV,,+11.2%
24946,กุญแจน้ำตาลทรายแดง 50กก.(รง.บุรีรัมย์),กระสอบ,1102.54,—,—,NV,,
11060,แลคตาซอย300มล.หวาน,หีบ,8.52,—,29,NV,,+240.4%
10645,มรกตน้ำมันปาล์ม1ลิตร,หีบ,46.16,48,50,NV,+4.0%,+8.3%
11180,ฉลามขาว 150มล.,หีบ,7.78,8.6,8.5,NV,+10.5%,+9.3%
10646,องุ่นน้ำมันถั่วเหลือง1ล.,หีบ,46.84,58,49.08,NV,+23.8%,+4.8%
21414,เอ็ม-150กระชายดำ(น้ำเงิน)10บ.,หีบ,7.78,—,—,NV,,
11110,เนสกาแฟกป.เขียว,หีบ,12.5,—,—,NV,,
22350,สามแม่ครัว ซาร์ดีน155ก.(ดึงแดง),หีบ,19.91,19.5,19.5,Lotus,-2.1%,-2.1%
11185,ลิโพวิตันดี100มล.,หีบ,9.59,10.5,10.4,NV,+9.5%,+8.4%
10261,รสดี155ก.รสหมู *รุ่น 27บ.,หีบ,21.57,20,11.3,Makro,-7.3%,-47.6%
11107,เบอร์ดี้กาแฟกป.แดง,หีบ,12.61,13.93,2.33,Makro,+10.5%,-81.5%
24198,อายิโนะโมะโต๊ะ250ก.รุ่น32บ ใหม่,หีบ,27.48,32,111,NV,+16.4%,+303.9%
10697,แบรนด์ซุปไก่39มล.,หีบ,27.52,—,3.75,Makro,,-86.4%
11310,เป๊ปซี่1.26ล.,หีบ,24,—,25.83,NV,,+7.6%
10984,ดีน่า180มล.รสงาดำ,หีบ,7.56,8.75,8.17,NV,+15.7%,+8.1%
25003,แลคตาซอย100มล.หวาน,หีบ,3.73,—,—,NV,,
10264,รสดี70ก.รสหมู *รุ่น13บ.,หีบ,10.38,—,11.3,NV,,+8.9%
11115,กระทิงแดง145มล. ฝาแดง,หีบ,7.77,8.54,8.4,NV,+9.9%,+8.1%
21409,โอวัลตินUHT165มล.,หีบ,8.04,—,8.94,NV,,+11.2%
11343,แฟนต้า1.25ล.ส้ม,แพ็ค,24.18,—,26.58,NV,,+9.9%
11344,แฟนต้า1.25ล.เขียว,แพ็ค,24.22,—,26.58,NV,,+9.7%
